acat,qty,regimen,LTBI,mid,lo,hi
18-34,TB,6H,75 %,-0.000564449169929554,-0.000178828171636227,-0.000867144173133741
35-64,AE,3HP,75 %,0.010479782899839,0.0112341208130204,0.00967322216548602
35-64,AE,4R,75 %,0.00226024547897984,0.00262230413073396,0.00182196649740508
35-64,AE,6H,75 %,0.00699965790615247,0.00765418983116933,0.00629091912606056
35-64,TB,3HP,75 %,-0.000701807223319658,-0.000318839170836549,-0.000988120126753126
35-64,TB,4R,75 %,-0.000620467096238804,-0.000233775612781174,-0.000926462251991411
35-64,TB,6H,75 %,-0.000567674475030757,-0.000176938071684419,-0.000866873971729131
65+,AE,3HP,75 %,0.0209596788717548,0.0246610732268536,0.0167278650254641
65+,AE,4R,75 %,0.00579306929693355,0.00771675657254345,0.00306169688207397
65+,AE,6H,75 %,0.0137003508575968,0.016836182487161,0.00991168657499894
65+,TB,3HP,75 %,-0.000668474524836583,-0.000291605029240582,-0.000955471547212143
65+,TB,4R,75 %,-0.000609118348385481,-0.000228961167140624,-0.000910470424144829
65+,TB,6H,75 %,-0.000551437843904794,-0.000164626881520721,-0.00086347088913585
